layout,protocol,task,num_results,mean_sr_percent,raw_result_std_percent,num_complete_train_seeds,train_seed_std_percent
five_slot,p75,pusht,9,83.33333333333333,2.8722813232690143,3,0.6666666666666643
five_slot,p75,cube,9,100.0,0.0,3,0.0
five_slot,p75,reacher,9,97.88888888888889,1.2692955176439846,3,0.19245008972987251
five_slot,p75,tworoom,9,98.77777777777777,1.3017082793177757,3,0.5091750772173145
five_slot,p77,pusht,9,83.88888888888889,2.891558595482912,3,0.509175077217316
five_slot,p77,cube,9,100.0,0.0,3,0.0
five_slot,p77,reacher,9,96.0,1.0,3,0.3333333333333286
five_slot,p77,tworoom,9,99.11111111111111,0.927960727138337,3,0.509175077217316
five_slot,p66,pusht,9,84.33333333333333,2.5,3,0.3333333333333357
five_slot,p66,cube,9,100.0,0.0,3,0.0
five_slot,p66,reacher,9,97.11111111111111,1.4529663145135578,3,0.38490017945974503
five_slot,p66,tworoom,9,99.0,0.8660254037844386,3,0.0
four_slot,p75,pusht,9,82.44444444444444,2.5055493963954847,3,1.8954135676924448
four_slot,p75,cube,9,100.0,0.0,3,0.0
four_slot,p75,reacher,9,97.0,1.4142135623730951,3,0.0
four_slot,p75,tworoom,9,96.88888888888889,1.3642254619787417,3,1.2619796324000592
four_slot,p77,pusht,9,82.11111111111111,3.4075080500434787,3,1.6442942874387503
four_slot,p77,cube,9,100.0,0.0,3,0.0
four_slot,p77,reacher,9,95.88888888888889,0.927960727138337,3,0.6938886664887147
four_slot,p77,tworoom,9,97.33333333333333,2.598076211353316,3,2.6457513110645907
four_slot,p66,pusht,9,82.0,2.23606797749979,3,0.5773502691896257
four_slot,p66,cube,9,100.0,0.0,3,0.0
four_slot,p66,reacher,9,96.33333333333333,2.179449471770337,3,1.2018504251546618
four_slot,p66,tworoom,9,94.77777777777777,6.240548408949685,3,6.735753140545636
