layout,protocol,task,num_results,mean_sr_percent,raw_result_std_percent,num_complete_train_seeds,train_seed_std_percent
five_slot,p75,pusht,9,87.66666666666667,3.391164991562634,3,1.5275252316519468
five_slot,p75,cube,9,99.88888888888889,0.3333333333333333,3,0.19245008972987251
five_slot,p75,reacher,9,52.22222222222222,3.6666666666666696,3,2.834966849371793
five_slot,p75,tworoom,9,98.66666666666667,1.6583123951777,3,0.3333333333333357
five_slot,p77,pusht,9,87.44444444444444,2.2973414586817036,3,1.8358568490953628
five_slot,p77,cube,9,100.0,0.0,3,0.0
five_slot,p77,reacher,9,48.44444444444444,5.854722690083432,3,2.009237924447236
five_slot,p77,tworoom,9,98.88888888888889,0.927960727138337,3,0.7698003589194983
five_slot,p66,pusht,9,89.33333333333333,2.0,3,2.0816659994661326
five_slot,p66,cube,9,99.77777777777777,0.44095855184409843,3,0.19245008972987251
five_slot,p66,reacher,9,47.77777777777778,5.97448277631164,3,3.288588574877499
five_slot,p66,tworoom,9,98.77777777777777,1.2018504251546631,3,0.19245008972987251
four_slot,p75,pusht,9,88.77777777777777,3.3458099833141217,3,2.8349668493717917
four_slot,p75,cube,9,100.0,0.0,3,0.0
four_slot,p75,reacher,9,48.22222222222222,5.607534613753574,3,3.3388842669592718
four_slot,p75,tworoom,9,96.77777777777777,1.563471919941143,3,0.19245008972987251
four_slot,p77,pusht,9,86.0,3.2015621187164243,3,1.2018504251546598
four_slot,p77,cube,9,100.0,0.0,3,0.0
four_slot,p77,reacher,9,49.55555555555556,3.086709862908689,3,0.5091750772173153
four_slot,p77,tworoom,9,97.0,3.24037034920393,3,3.282952600598706
four_slot,p66,pusht,9,87.77777777777777,3.492054473292827,3,2.8349668493717965
four_slot,p66,cube,9,99.88888888888889,0.3333333333333333,3,0.19245008972987251
four_slot,p66,reacher,9,48.888888888888886,6.584915421712803,3,3.0245905752924913
four_slot,p66,tworoom,9,96.11111111111111,4.935697631653616,3,5.590998055737387
